ramp_merge	pie_merge	phi	delta	v_min	time_gap	fitness
0.61	0.95	2.54	0.18	3.22	1.39	351.32
0.22	0.88	2.11	0.04	5.32	1.29	83.514
0.32	0.9	3.41	0.38	3.36	1.32	95.863
0.29	0.85	2.01	0.59	3.21	1.22	82.491
0.57	0.99	3.19	0.14	4.19	1.49	459.83
0.16	0.89	3.58	0.37	3.49	1.34	85.199
0.15	0.9	2.79	0.07	5.04	1.45	159.428
0.23	0.96	2.53	0.13	4.65	1.22	84.663
0.52	0.9	3.06	0.48	5.75	1.43	403.845
0.62	0.89	2.02	0.27	3.05	1.39	356.881
0.25	0.93	2.29	0.07	4.32	1.38	261.976
0.2	0.86	1.81	0.15	3.18	1.29	83.292
0.32	0.96	1.89	0.11	3.16	1.25	82.326
0.44	0.95	3.42	0.51	3.28	1.34	162.6
0.29	0.88	1.98	0.48	3.85	1.45	356.6
0.12	0.86	2.65	0.35	3.15	1.21	85.419
0.35	0.97	2.83	0.31	5.29	1.35	173.245
0.37	0.95	1.97	0.45	5.74	1.21	81.834
0.14	0.93	3.3	0.04	5.46	1.21	84.775
0.2	0.98	3.18	0.53	5.73	1.24	83.03
0.56	0.94	3.23	0.14	3.73	1.23	127.664
0.4	0.91	1.93	0.43	3.59	1.48	474.419
0.58	0.87	1.84	0.13	4.36	1.33	176.496
0.55	0.86	2.83	0.34	4.17	1.47	482.851
0.36	0.88	1.86	0.19	4.33	1.23	84.74
0.46	0.97	3.5	0.39	4.13	1.46	361.474
0.35	0.9	2.07	0.06	3.69	1.46	340.031
0.35	0.94	3.32	0.55	4.99	1.37	231.666
0.63	0.86	2.31	0.59	5.8	1.32	94.244
0.17	0.88	3.17	0.38	5.57	1.3	84.02
0.25	0.88	1.92	0.23	3.48	1.3	83.807
0.29	0.98	2.95	0.58	5.15	1.31	97.882
0.27	0.96	2.15	0.39	5.74	1.45	339.827
0.12	0.95	3.34	0.19	5.55	1.32	85.966
0.19	0.86	3.24	0.59	5.88	1.37	149.493
0.18	0.87	2.86	0.09	3.44	1.28	83.612
0.45	0.95	2.55	0.14	4.33	1.32	103.81
0.62	0.95	3.21	0.03	5.61	1.29	94.197
0.62	0.98	2.42	0.52	3.91	1.32	141.527
0.56	0.93	2.64	0.02	4.41	1.47	358.97
0.46	0.92	3.52	0.53	3.38	1.21	145.154
0.27	0.96	2.7	0.29	3.84	1.38	204.374
0.21	0.87	1.91	0.38	3.28	1.39	138.792
0.11	0.94	3.09	0.52	4.61	1.23	88.098
0.62	0.97	2.46	0.4	5.52	1.47	451.79
0.35	0.97	3.11	0.47	4.42	1.22	84.029
0.36	0.96	3.06	0.24	4.04	1.48	342.099
0.51	0.87	3.49	0.36	5.11	1.2	116.584
0.57	0.98	3.49	0.09	3.83	1.4	293.542
0.56	0.9	2.96	0.53	4.67	1.42	309.103
0.23	0.87	2.35	0.43	4.98	1.26	83.552
0.56	0.85	2.96	0.36	5.37	1.45	342.135
0.22	0.94	2.11	0.29	4.08	1.33	149.952
0.15	0.96	2.4	0.02	4.85	1.48	250.018
0.5	0.95	2.58	0.11	4.16	1.38	215.162
0.14	0.97	3.3	0.18	3.06	1.43	82.819
0.14	0.88	2.12	0.3	5.44	1.3	84.211
0.22	0.89	3.02	0.29	5.92	1.4	82.377
0.3	0.92	2.63	0.18	5.93	1.31	155.749
0.6	0.85	2.07	0.3	4.39	1.31	162.527
0.43	0.87	3.38	0.28	4.26	1.4	189.654
0.46	0.98	2.82	0.09	5.92	1.34	165.215
0.36	0.96	3.46	0.45	3.41	1.23	83.092
0.43	0.86	3.04	0.15	4.95	1.41	293.304
0.36	0.86	1.91	0.46	5.38	1.37	224.066
0.21	0.92	2.92	0.03	3.61	1.46	339.736
0.25	0.94	2.04	0.09	5.08	1.36	141.261
0.41	0.95	3.2	0.54	4.25	1.46	404.653
0.37	0.91	3.01	0.48	5.01	1.26	91.844
0.13	0.85	3.38	0.22	3.69	1.39	137.333
