ramp_merge	pie_merge	phi	delta	v_min	time_gap	fitness
0.58	0.87	2.14	0.35	5.02	1.43	338.139
0.26	0.96	2.15	0.27	5.83	1.48	401.928
0.57	0.92	2.2	0.25	3.47	1.33	98.177
0.54	0.88	3.58	0.38	5.47	1.42	354.368
0.47	0.91	2.46	0.38	5.33	1.37	201.226
0.38	0.92	2.64	0.47	4.72	1.28	81.236
0.36	0.99	3.58	0.41	5.02	1.21	83.253
0.56	0.95	3.14	0.53	5.88	1.45	355.273
0.13	0.88	2.73	0.56	5.19	1.27	86.341
0.31	0.98	3.04	0.53	3.14	1.27	82.783
0.56	0.96	2.51	0.21	5.8	1.46	383.088
0.44	0.93	1.92	0.06	5.35	1.4	249.712
0.53	0.93	2.21	0.52	5.02	1.25	125.272
0.31	0.9	2.53	0.28	3.62	1.3	182.476
0.49	0.98	2.38	0.14	4.01	1.4	263.591
0.61	0.97	3.11	0.39	5.72	1.36	213.857
0.19	0.93	2.0	0.53	4.34	1.38	167.989
0.6	0.91	2.35	0.22	5.57	1.46	369.084
0.36	0.91	2.48	0.18	3.35	1.47	369.643
0.34	0.91	2.23	0.05	3.21	1.4	274.369
0.53	0.86	2.72	0.18	5.0	1.43	362.821
0.35	0.88	2.74	0.43	3.37	1.43	346.329
0.3	0.91	3.13	0.41	5.97	1.29	82.188
0.56	0.98	2.44	0.18	3.45	1.26	82.638
0.14	0.95	3.35	0.41	4.42	1.35	83.225
0.54	0.97	2.58	0.26	5.07	1.3	95.454
0.18	0.91	3.0	0.48	3.9	1.2	84.558
0.15	0.87	2.01	0.48	4.41	1.23	85.64
0.46	0.87	2.29	0.2	3.59	1.25	82.79
0.42	0.98	3.09	0.42	3.84	1.26	94.404
0.27	0.93	2.35	0.25	3.31	1.45	350.517
0.33	0.94	2.45	0.45	5.53	1.41	248.582
0.37	0.85	1.95	0.18	4.55	1.4	227.821
0.23	0.85	2.71	0.28	5.91	1.45	392.683
0.18	0.92	3.37	0.22	5.59	1.37	179.913
0.14	0.9	2.82	0.29	3.4	1.28	85.192
0.36	0.87	3.06	0.29	5.67	1.21	84.269
0.49	0.93	3.28	0.04	3.66	1.48	477.868
0.2	0.88	2.48	0.37	4.84	1.3	83.518
0.43	0.93	2.7	0.16	3.79	1.39	223.351
0.57	0.96	3.31	0.06	3.94	1.47	470.785
0.11	0.99	3.14	0.06	5.06	1.27	86.538
0.47	0.94	2.48	0.26	5.59	1.24	85.15
0.37	0.95	1.92	0.25	5.81	1.26	84.255
0.52	0.87	3.56	0.22	4.99	1.43	284.148
0.23	0.95	3.5	0.44	3.64	1.34	146.586
0.4	0.99	2.76	0.58	4.66	1.36	229.096
0.2	0.85	2.24	0.45	4.66	1.34	173.307
0.44	0.99	3.12	0.37	3.64	1.25	87.216
0.36	0.85	2.71	0.36	4.76	1.37	230.934
0.41	0.98	3.39	0.51	5.46	1.44	273.411
0.12	0.9	2.01	0.13	5.99	1.32	85.042
0.18	0.9	2.48	0.16	3.32	1.36	173.073
0.1	0.94	2.23	0.1	5.69	1.44	85.309
0.51	0.93	2.02	0.09	4.23	1.44	366.016
0.35	0.85	2.32	0.07	4.09	1.43	336.127
0.4	0.96	3.13	0.31	5.36	1.22	95.097
0.43	0.9	3.33	0.13	4.93	1.43	344.193
0.37	0.97	2.4	0.57	5.95	1.31	164.328
0.38	0.85	2.2	0.2	5.35	1.27	97.715
0.46	0.88	2.13	0.03	5.19	1.28	83.316
0.58	0.95	3.01	0.02	5.75	1.34	187.936
0.47	0.91	3.45	0.48	4.96	1.38	156.087
0.57	0.88	2.45	0.29	5.54	1.35	206.644
0.35	0.94	2.69	0.34	3.04	1.34	202.896
0.5	0.92	3.32	0.57	3.77	1.45	363.303
0.56	0.9	3.05	0.58	4.53	1.49	444.414
0.24	0.92	3.49	0.38	4.17	1.28	83.957
0.21	0.92	3.18	0.32	4.42	1.33	141.446
0.57	0.91	2.09	0.42	3.24	1.22	88.233
0.2	0.92	2.56	0.53	5.87	1.22	84.421
0.44	0.91	3.43	0.26	4.66	1.35	171.533
0.56	0.94	2.94	0.59	4.65	1.28	134.033
0.31	0.95	3.54	0.46	5.16	1.38	208.745
0.63	0.85	2.1	0.17	3.33	1.4	386.778
0.16	0.91	2.65	0.28	4.26	1.23	86.06
0.51	0.96	2.7	0.19	3.22	1.21	92.701
0.2	0.99	3.09	0.21	4.53	1.33	152.26
0.4	0.99	2.38	0.13	4.86	1.27	176.164
0.41	0.93	1.8	0.19	5.03	1.35	152.922
0.6	0.87	2.87	0.47	4.65	1.35	207.924
0.52	0.97	2.32	0.07	4.33	1.39	232.052
0.23	0.97	2.17	0.49	4.84	1.47	490.139
0.39	0.99	2.49	0.37	3.0	1.34	184.842
0.51	0.96	3.42	0.51	5.21	1.35	230.89
0.36	0.93	3.55	0.21	3.93	1.46	368.152
0.4	0.95	2.71	0.04	5.01	1.27	155.687
0.45	0.97	2.06	0.13	3.66	1.46	342.987
0.5	0.85	2.63	0.26	4.65	1.37	189.51
0.29	0.91	3.24	0.37	4.24	1.45	288.474
0.38	0.92	3.59	0.3	5.96	1.34	176.812
0.62	0.95	3.25	0.49	4.27	1.35	226.577
0.18	0.88	2.69	0.04	4.82	1.31	82.934
0.16	0.98	3.04	0.42	3.62	1.3	82.849
0.37	0.94	2.33	0.35	3.5	1.25	83.824
0.46	0.95	2.43	0.2	4.52	1.43	424.754
0.46	0.94	2.32	0.23	5.77	1.46	366.927
0.15	0.99	2.6	0.33	4.33	1.22	84.731
0.21	0.98	3.09	0.37	3.87	1.28	83.958
0.25	0.99	3.2	0.14	5.77	1.34	192.313
0.48	0.97	3.54	0.21	4.75	1.26	127.86
0.55	0.91	3.07	0.41	5.23	1.24	86.923
0.64	0.91	2.21	0.59	3.56	1.26	103.114
0.1	0.95	1.92	0.56	4.72	1.46	85.388
0.48	0.91	2.56	0.12	4.23	1.31	88.901
0.58	0.95	2.38	0.05	4.88	1.39	376.837
0.57	0.98	2.32	0.18	3.24	1.3	186.75
0.13	0.97	2.0	0.18	3.26	1.35	83.997
0.55	0.86	1.96	0.58	5.81	1.29	98.436
0.15	0.86	3.22	0.24	4.25	1.3	83.917
0.39	0.89	1.84	0.22	3.03	1.48	342.69
0.27	0.88	2.47	0.41	5.91	1.36	92.292
0.35	0.97	2.45	0.25	3.63	1.38	187.677
0.29	0.91	2.94	0.22	4.74	1.46	364.142
0.38	0.9	3.45	0.07	5.22	1.42	333.048
0.24	0.96	2.41	0.41	4.12	1.22	84.445
0.59	0.95	3.28	0.58	3.72	1.37	217.471
0.18	0.95	1.8	0.34	4.14	1.45	282.968
0.64	0.87	2.06	0.27	5.98	1.28	142.015
0.17	0.89	1.87	0.23	4.2	1.41	179.334
0.59	0.87	2.82	0.53	3.36	1.48	363.247
0.21	0.97	3.16	0.42	5.84	1.28	82.559
0.24	0.96	1.89	0.27	3.82	1.48	354.467
0.63	0.88	2.18	0.44	3.83	1.27	93.659
0.62	0.88	2.27	0.12	3.34	1.22	81.954
0.41	0.9	3.41	0.25	3.32	1.26	91.085
0.51	0.98	2.73	0.05	4.87	1.33	216.72
0.49	0.87	3.36	0.19	5.3	1.25	81.723
0.4	0.96	3.3	0.03	3.81	1.45	326.502
0.54	0.99	1.87	0.1	4.83	1.45	350.359
0.53	0.93	2.16	0.2	3.05	1.46	510.165
0.52	0.87	2.35	0.38	4.89	1.36	185.448
0.52	0.87	3.22	0.05	3.93	1.47	428.489
0.39	0.91	2.32	0.34	4.69	1.45	368.232
0.58	0.99	3.32	0.33	3.88	1.4	199.796
0.4	0.97	3.4	0.06	3.27	1.29	122.845
0.53	0.99	2.96	0.25	5.73	1.37	227.035
0.18	0.98	3.27	0.25	3.64	1.27	84.19
0.16	0.9	2.11	0.43	5.44	1.31	84.076
0.56	0.87	2.03	0.22	4.51	1.2	129.728
0.41	0.89	3.55	0.36	4.74	1.39	273.611
0.5	0.95	3.35	0.06	4.24	1.27	99.173
0.61	0.85	1.95	0.41	3.7	1.43	338.15
0.25	0.88	3.29	0.44	5.38	1.41	347.192
0.29	0.95	3.59	0.27	5.29	1.21	82.615
0.25	0.88	1.91	0.12	4.2	1.48	341.672
0.22	0.91	2.04	0.29	3.31	1.38	82.231
0.62	0.92	2.46	0.29	3.8	1.35	170.015
0.61	0.89	3.14	0.54	5.65	1.26	82.359
0.54	0.91	2.26	0.42	5.09	1.37	199.328
0.46	0.88	2.75	0.36	3.47	1.36	195.005
0.22	0.87	2.57	0.35	5.69	1.45	274.752
0.63	0.89	2.27	0.15	4.33	1.43	295.492
0.1	0.97	2.25	0.44	3.93	1.48	85.563
0.59	0.99	1.98	0.5	4.48	1.38	197.194
0.1	0.9	2.95	0.2	3.75	1.32	86.131
0.33	0.86	2.37	0.55	4.2	1.29	83.532
0.41	0.97	1.98	0.54	4.55	1.26	100.289
0.39	0.86	1.86	0.24	3.24	1.25	97.291
0.23	0.98	1.89	0.18	4.64	1.42	260.851
0.29	0.93	2.86	0.31	4.33	1.28	84.062
0.17	0.99	3.51	0.53	5.58	1.2	84.641
0.38	0.87	2.28	0.14	3.65	1.46	349.447
0.37	0.87	2.41	0.17	4.72	1.35	215.668
0.27	0.86	2.47	0.52	5.61	1.24	84.233
0.47	0.97	2.68	0.29	3.75	1.34	183.728
0.11	0.86	3.33	0.38	5.6	1.26	86.644
0.29	0.94	2.06	0.39	4.4	1.45	280.556
0.19	0.94	2.17	0.55	3.59	1.37	125.713
0.55	0.86	2.79	0.23	3.66	1.25	108.492
0.15	0.96	3.12	0.55	3.27	1.26	84.255
0.45	0.87	1.89	0.29	4.66	1.21	97.182
0.18	0.85	3.54	0.43	5.2	1.47	261.496
0.18	0.99	2.49	0.41	5.2	1.4	178.146
0.53	0.91	2.93	0.25	5.75	1.37	170.582
0.37	0.95	3.55	0.32	5.28	1.37	161.275
0.32	0.88	2.41	0.15	5.07	1.44	263.435
0.47	0.86	3.06	0.29	3.34	1.4	248.425
0.17	0.98	2.01	0.59	4.12	1.33	83.671
0.31	0.86	1.85	0.32	3.87	1.35	206.736
0.29	0.99	3.14	0.32	4.82	1.28	84.483
0.21	0.99	2.63	0.06	5.96	1.25	84.11
0.43	0.93	3.59	0.3	4.74	1.33	180.734
0.22	0.88	2.14	0.44	4.81	1.3	135.573
0.46	0.99	1.92	0.57	3.44	1.31	91.552
0.55	0.94	3.56	0.04	3.94	1.3	103.56
0.51	0.94	2.77	0.58	3.22	1.33	93.284
0.58	0.88	2.21	0.35	5.53	1.22	83.073
0.43	0.98	3.31	0.44	4.66	1.2	84.358
0.15	0.97	3.45	0.52	5.69	1.37	83.933
0.18	0.96	2.34	0.03	5.28	1.46	281.86
0.38	0.9	3.16	0.49	3.92	1.29	97.554
0.12	0.91	3.03	0.5	3.87	1.49	159.317
0.49	0.87	2.1	0.54	5.77	1.29	150.698
0.52	0.97	2.64	0.5	3.64	1.21	133.963
0.15	0.88	2.57	0.32	4.68	1.47	262.636
0.35	0.92	1.99	0.15	5.08	1.3	140.451
0.25	0.9	3.04	0.54	4.36	1.28	82.716
0.41	0.85	3.58	0.09	3.56	1.28	93.408
0.32	0.97	2.87	0.52	3.84	1.29	94.694
0.51	0.97	1.98	0.49	4.96	1.49	351.965
0.13	0.98	3.27	0.3	5.73	1.33	84.26
0.6	0.91	3.56	0.46	4.57	1.29	163.876
0.57	0.91	3.41	0.33	3.05	1.3	96.292
0.38	0.9	1.85	0.34	4.85	1.33	140.998
0.32	0.92	2.96	0.16	5.87	1.48	357.569
0.6	0.99	1.95	0.12	5.71	1.47	428.013
0.54	0.94	2.99	0.19	4.01	1.4	253.615
0.26	0.93	3.11	0.5	4.43	1.25	83.782
0.29	0.9	2.57	0.05	4.1	1.36	197.909
0.11	0.9	3.35	0.15	3.19	1.4	85.135
0.6	0.86	2.02	0.44	3.34	1.38	249.59
0.58	0.92	3.49	0.46	3.32	1.48	336.348
0.49	0.99	2.14	0.2	5.18	1.28	89.757
0.28	0.9	2.37	0.05	4.3	1.47	387.917
0.2	0.98	3.13	0.34	5.76	1.3	83.629
0.42	0.93	2.43	0.1	4.92	1.36	182.821
0.37	0.91	3.36	0.52	3.21	1.42	268.531
0.37	0.85	2.04	0.51	3.99	1.29	96.455
0.33	0.87	2.07	0.05	5.3	1.39	333.993
0.27	0.99	3.54	0.26	5.09	1.24	134.974
0.33	0.9	3.29	0.44	5.53	1.2	83.685
0.19	0.86	2.44	0.57	3.46	1.35	149.707
0.29	0.87	2.92	0.58	5.01	1.4	278.798
0.38	0.88	2.75	0.28	3.61	1.31	159.86
0.17	0.88	2.61	0.12	5.26	1.41	262.949
0.35	0.96	2.51	0.26	3.73	1.32	158.235
0.42	0.95	3.47	0.31	5.26	1.31	203.677
0.41	0.9	2.23	0.21	4.58	1.36	195.437
0.23	0.99	2.1	0.36	4.13	1.41	325.492
0.48	0.94	3.08	0.1	3.96	1.45	326.778
0.2	0.87	1.92	0.14	5.7	1.39	170.621
0.27	0.88	3.59	0.28	5.95	1.31	160.506
0.14	0.91	2.19	0.12	4.96	1.35	84.901
0.35	0.91	2.88	0.56	4.92	1.48	368.21
0.47	0.94	2.27	0.28	3.51	1.25	127.741
0.29	0.91	3.35	0.22	3.11	1.21	84.12
0.16	0.89	3.34	0.33	4.79	1.32	84.532
0.61	0.89	3.15	0.28	4.04	1.42	296.546
0.34	0.94	1.98	0.12	4.32	1.42	295.91
0.44	0.9	2.79	0.22	5.1	1.35	154.983
0.29	0.89	3.47	0.34	5.44	1.46	304.07
0.52	0.98	3.06	0.44	4.93	1.21	83.63
0.17	0.87	3.28	0.1	3.12	1.36	147.136
0.4	0.94	1.97	0.51	5.85	1.33	171.723
0.64	0.92	3.53	0.14	5.19	1.37	215.422
0.11	0.98	2.31	0.36	5.13	1.29	86.316
0.32	0.86	1.96	0.3	4.02	1.26	84.031
0.25	0.95	3.55	0.45	3.59	1.31	83.276
0.27	0.88	2.18	0.14	4.84	1.44	333.731
0.15	0.9	2.94	0.28	4.61	1.47	262.381
0.15	0.93	3.07	0.43	4.55	1.28	83.255
0.2	0.94	2.47	0.29	3.27	1.35	181.686
0.45	0.86	2.35	0.33	5.1	1.47	355.872
0.42	0.95	2.52	0.06	3.3	1.35	206.857
0.51	0.97	2.13	0.13	5.97	1.2	83.257
0.43	0.9	2.55	0.29	3.68	1.34	200.721
0.41	0.87	2.57	0.28	3.32	1.42	268.518
0.21	0.86	2.25	0.22	4.59	1.31	83.695
0.1	0.94	1.96	0.58	3.77	1.43	85.877
0.3	0.97	2.64	0.22	4.56	1.3	83.018
0.11	0.94	2.19	0.21	4.04	1.48	85.284
0.54	0.92	3.26	0.16	3.66	1.23	90.785
0.24	0.97	2.8	0.15	3.28	1.27	84.117
0.47	0.87	3.29	0.43	3.93	1.24	90.495
0.57	0.89	3.12	0.29	4.63	1.47	469.934
0.45	0.93	2.8	0.21	5.97	1.24	82.0
0.47	0.85	2.58	0.53	4.15	1.38	203.969
0.24	0.9	2.73	0.4	4.44	1.4	348.511
0.14	0.88	2.27	0.51	5.13	1.49	256.185
0.34	0.97	2.5	0.44	5.42	1.3	112.225
0.43	0.86	3.47	0.1	3.06	1.21	82.908
0.13	0.95	3.38	0.17	3.41	1.24	85.377
0.42	0.93	3.22	0.17	5.14	1.26	83.639
0.33	0.97	3.36	0.16	4.85	1.34	155.948
0.33	0.88	3.13	0.53	4.84	1.32	148.393
0.57	0.89	2.22	0.44	4.94	1.48	472.353
0.3	0.96	2.44	0.33	5.25	1.48	408.294
0.37	0.97	2.39	0.04	4.0	1.3	99.242
0.14	0.87	3.55	0.26	3.13	1.49	283.085
0.29	0.94	3.33	0.56	3.17	1.24	83.415
0.41	0.95	3.08	0.38	4.45	1.39	233.878
0.13	0.86	2.46	0.08	3.12	1.36	85.54
0.39	0.98	2.55	0.41	5.94	1.25	102.206
0.53	0.9	3.38	0.23	3.66	1.34	158.037
0.3	0.96	3.4	0.46	3.37	1.47	399.804
0.55	0.94	2.57	0.36	5.69	1.34	188.066
0.37	0.89	3.53	0.11	5.9	1.3	93.757
0.25	0.91	1.95	0.07	3.41	1.4	271.245
0.29	0.89	3.05	0.58	3.43	1.45	352.79
0.27	0.97	2.66	0.25	4.15	1.31	138.49
0.64	0.88	2.09	0.06	5.12	1.39	293.626
0.15	0.98	2.72	0.48	3.97	1.42	163.588
0.16	0.87	2.22	0.5	4.28	1.49	268.706
0.37	0.95	3.56	0.5	5.41	1.39	255.864
0.54	0.99	2.34	0.27	4.81	1.33	147.574
0.53	0.97	2.52	0.27	3.8	1.25	131.323
0.45	0.91	3.31	0.57	5.9	1.28	94.738
0.25	0.85	3.01	0.19	3.72	1.34	148.947
0.36	0.96	2.6	0.15	5.13	1.21	85.27
0.56	0.87	3.58	0.46	3.61	1.32	147.831
0.53	0.92	2.21	0.49	4.43	1.26	82.611
0.12	0.96	3.31	0.56	4.02	1.24	85.499
0.11	0.92	2.38	0.47	4.99	1.43	85.426
0.3	0.94	1.86	0.5	5.52	1.26	81.531
0.33	0.9	2.91	0.53	4.59	1.43	283.23
0.28	0.99	2.04	0.12	4.88	1.46	419.037
0.4	0.98	1.87	0.55	3.66	1.28	94.435
0.52	0.85	2.14	0.24	5.27	1.32	172.26
0.49	0.85	1.97	0.52	3.17	1.49	349.52
0.33	0.92	1.94	0.24	3.75	1.42	257.774
0.57	0.96	3.48	0.37	4.48	1.42	384.383
0.39	0.89	2.8	0.29	4.57	1.23	83.341
0.16	0.96	2.9	0.12	3.95	1.3	84.599
0.32	0.92	3.25	0.52	4.03	1.49	488.223
0.18	0.86	2.03	0.16	3.07	1.49	274.153
0.52	0.88	1.86	0.03	5.68	1.49	478.797
0.22	0.92	2.31	0.13	5.14	1.2	81.778
0.61	0.85	3.18	0.18	4.16	1.24	90.484
0.5	0.92	2.8	0.37	3.66	1.4	293.201
0.46	0.87	2.4	0.55	4.63	1.38	203.937
0.37	0.96	3.4	0.27	3.1	1.42	335.557
0.61	0.91	2.36	0.09	3.88	1.42	257.225
0.28	0.98	2.68	0.19	5.63	1.35	205.919
0.38	0.87	3.12	0.56	3.55	1.47	324.603
0.52	0.87	3.2	0.32	3.01	1.26	83.228
0.5	0.96	2.59	0.35	3.19	1.49	478.492
0.29	0.94	3.43	0.05	5.27	1.37	226.778
0.5	0.99	3.52	0.38	3.26	1.44	287.173
0.42	0.99	2.82	0.33	3.62	1.49	359.912
0.3	0.93	2.23	0.08	3.75	1.45	332.501
0.22	0.99	2.18	0.22	4.45	1.34	141.07
0.53	0.91	3.21	0.59	3.99	1.26	106.366
0.16	0.96	2.39	0.21	5.39	1.47	262.78
0.34	0.98	2.9	0.48	4.78	1.39	145.704
0.44	0.97	1.93	0.13	3.55	1.33	181.352
0.38	0.92	2.14	0.24	3.75	1.36	235.228
0.24	0.98	2.01	0.3	4.59	1.37	278.569
0.24	0.98	2.47	0.51	4.61	1.21	84.401
0.24	0.96	2.71	0.57	4.98	1.27	83.252
0.57	0.86	2.23	0.1	5.95	1.32	176.079
0.54	0.92	2.03	0.31	3.13	1.24	92.734
0.3	0.87	3.56	0.58	4.56	1.28	155.997
0.35	0.9	2.52	0.34	3.08	1.45	381.735
0.57	0.89	3.46	0.04	3.13	1.33	159.985
0.13	0.99	3.21	0.09	4.34	1.28	85.73
0.54	0.97	2.17	0.45	3.58	1.29	177.25
0.53	0.87	1.95	0.37	3.28	1.22	82.776
0.58	0.96	3.11	0.02	3.98	1.28	95.716
0.33	0.85	2.62	0.46	4.72	1.22	82.697
0.42	0.98	3.12	0.54	3.14	1.25	92.863
0.41	0.89	3.11	0.14	5.72	1.33	234.888
0.17	0.88	2.93	0.21	5.94	1.47	294.884
0.34	0.99	3.22	0.43	4.58	1.42	353.638
0.19	0.99	2.52	0.15	3.1	1.4	157.807
0.45	0.97	2.86	0.17	3.76	1.27	94.112
0.13	0.99	3.09	0.04	3.07	1.2	86.359
0.36	0.96	3.08	0.29	4.11	1.39	273.505
0.6	0.91	2.72	0.36	3.46	1.33	198.12
0.21	0.94	2.55	0.59	3.16	1.38	155.445
0.6	0.95	3.26	0.57	5.14	1.42	350.557
0.28	0.96	2.95	0.23	3.13	1.25	84.024
0.15	0.98	2.9	0.14	3.55	1.35	84.297
0.25	0.93	2.86	0.28	5.7	1.44	355.045
0.6	0.9	2.78	0.03	5.85	1.43	332.942
0.59	0.92	2.58	0.19	5.66	1.31	136.846
0.42	0.9	2.6	0.12	5.69	1.23	84.597
0.16	0.85	3.04	0.48	3.65	1.21	84.388
0.56	0.9	3.57	0.39	3.82	1.3	96.428
0.19	0.96	2.11	0.18	4.06	1.22	85.316
0.33	0.88	2.09	0.53	4.63	1.33	168.947
0.61	0.99	3.0	0.15	5.28	1.2	83.428
0.34	0.87	3.01	0.08	3.77	1.2	84.462
0.1	0.87	3.14	0.15	5.45	1.29	85.672
0.56	0.95	3.37	0.52	4.22	1.33	180.468
0.23	0.96	3.24	0.45	4.37	1.3	84.469
0.45	0.89	2.93	0.35	3.95	1.49	361.937
0.24	0.94	3.25	0.55	4.49	1.3	83.158
0.5	0.94	2.09	0.14	5.07	1.43	247.883
0.23	0.86	1.87	0.43	5.4	1.48	354.075
0.14	0.89	3.15	0.58	3.73	1.44	180.887
0.38	0.91	3.11	0.23	5.79	1.23	131.88
0.25	0.88	2.12	0.29	3.26	1.49	448.847
0.45	0.9	2.73	0.21	3.87	1.46	347.707
0.35	0.86	2.98	0.48	3.0	1.25	89.451
0.39	0.94	2.57	0.49	4.7	1.22	84.104
0.17	0.98	2.53	0.5	5.2	1.47	173.023
0.6	0.88	2.27	0.36	4.94	1.33	174.409
0.59	0.98	3.37	0.49	4.68	1.25	82.261
0.47	0.91	2.3	0.13	4.04	1.28	153.109
0.1	0.89	2.19	0.56	4.45	1.26	86.579
0.19	0.91	2.55	0.35	5.27	1.3	82.747
0.17	0.91	3.42	0.59	5.62	1.4	272.855
0.43	0.98	2.74	0.38	4.02	1.33	217.389
0.61	0.98	3.18	0.37	4.79	1.41	250.966
0.52	0.87	2.7	0.58	4.9	1.24	82.609
0.31	0.92	2.94	0.2	3.6	1.35	161.192
0.34	0.94	3.31	0.35	5.61	1.4	278.777
0.5	0.93	3.51	0.23	4.1	1.35	118.223
0.38	0.99	2.71	0.12	5.43	1.37	187.288
0.12	0.85	1.94	0.09	4.14	1.29	83.635
0.32	0.85	3.56	0.33	4.91	1.25	84.864
0.41	0.91	2.47	0.32	3.74	1.22	89.224
0.12	0.88	3.37	0.25	5.88	1.24	84.603
0.42	0.9	2.54	0.23	5.52	1.36	263.966
0.6	0.9	2.96	0.13	5.37	1.49	425.013
0.36	0.9	2.91	0.11	4.46	1.34	98.69
0.56	0.85	2.97	0.34	4.93	1.31	96.618
0.46	0.89	3.2	0.37	4.13	1.22	88.269
0.61	0.92	1.93	0.56	5.88	1.35	182.986
0.35	0.87	2.17	0.26	4.12	1.41	213.626
0.58	0.92	2.41	0.1	4.54	1.36	206.875
0.48	0.86	2.55	0.57	5.93	1.49	473.177
0.55	0.98	3.35	0.43	5.11	1.38	344.157
0.25	0.95	1.96	0.42	4.62	1.36	232.03
0.52	0.98	2.35	0.58	4.06	1.3	94.523
0.54	0.99	3.52	0.14	3.81	1.43	367.467
0.42	0.92	2.08	0.42	5.62	1.29	96.712
0.12	0.96	2.82	0.55	3.0	1.41	84.95
0.14	0.96	3.02	0.4	5.33	1.4	133.294
0.11	0.98	1.81	0.4	4.14	1.27	87.229
0.23	0.86	2.1	0.27	5.52	1.33	144.536
0.4	0.86	3.37	0.53	5.42	1.2	83.317
0.15	0.95	2.01	0.28	4.48	1.42	144.92
0.47	0.96	2.54	0.35	3.56	1.31	93.72
0.54	0.95	2.79	0.24	4.9	1.46	331.754
0.51	0.88	3.53	0.13	4.6	1.4	236.728
0.22	0.96	1.8	0.22	4.22	1.3	146.918
0.48	0.93	3.08	0.21	4.11	1.24	91.219
0.22	0.93	2.35	0.44	4.12	1.2	83.218
0.38	0.87	2.1	0.31	5.94	1.3	92.162
0.54	0.87	3.15	0.57	3.07	1.29	91.334
0.28	0.98	3.19	0.31	5.12	1.25	83.231
0.14	0.99	1.95	0.19	4.77	1.46	171.506
0.19	0.89	3.19	0.03	5.3	1.31	82.986
0.59	0.89	2.5	0.23	5.72	1.3	92.042
0.25	0.97	2.81	0.3	4.26	1.38	192.581
0.56	0.87	1.91	0.46	3.83	1.39	179.193
0.13	0.98	2.93	0.25	5.18	1.2	86.028
0.48	0.88	2.94	0.1	3.37	1.31	92.591
0.2	0.9	2.76	0.4	5.08	1.37	172.138
0.26	0.97	3.37	0.25	5.47	1.49	355.177
0.21	0.98	2.56	0.35	3.93	1.23	83.776
0.22	0.99	1.86	0.57	5.89	1.36	145.577
0.32	0.97	2.08	0.45	4.63	1.24	83.124
0.13	0.93	2.09	0.13	3.38	1.48	142.309
0.56	0.92	2.19	0.14	4.1	1.29	156.357
0.37	0.92	3.51	0.36	4.12	1.39	286.92
0.62	0.91	2.7	0.18	5.01	1.39	358.549
0.45	0.9	3.19	0.02	4.62	1.39	205.901
0.28	0.99	2.38	0.35	5.95	1.37	232.824
0.45	0.95	2.64	0.37	5.59	1.48	417.852
0.34	0.99	3.51	0.06	3.1	1.39	279.744
0.15	0.92	2.98	0.09	4.39	1.25	84.469
0.57	0.87	3.02	0.17	3.96	1.47	328.111
0.35	0.95	2.62	0.28	5.51	1.3	114.227
0.29	0.86	2.44	0.13	3.73	1.31	81.992
0.43	0.9	1.81	0.27	5.21	1.38	210.495
0.58	0.9	2.25	0.08	4.84	1.3	168.204
0.15	0.96	2.5	0.55	4.8	1.22	84.211
0.52	0.92	2.44	0.02	5.97	1.43	386.196
0.33	0.93	2.17	0.55	3.38	1.26	84.862
0.14	0.94	2.12	0.53	5.09	1.36	84.079
0.36	0.86	2.98	0.35	4.55	1.25	82.964
0.38	0.97	2.9	0.5	3.41	1.43	337.047
0.48	0.87	2.75	0.22	4.76	1.31	145.874
0.32	0.89	2.9	0.56	5.45	1.2	82.979
0.16	0.9	2.69	0.1	3.16	1.48	267.347
0.34	0.98	1.91	0.45	3.58	1.41	273.839
0.38	0.95	3.28	0.23	3.26	1.25	84.823
0.46	0.86	2.77	0.48	4.73	1.23	82.573
0.49	0.94	3.11	0.12	5.01	1.35	121.829
0.19	0.9	2.99	0.31	3.8	1.34	83.921
0.17	0.96	2.71	0.12	3.37	1.36	181.846
0.22	0.91	1.85	0.21	3.6	1.46	357.096
0.41	0.88	3.49	0.28	5.49	1.45	352.286
0.35	0.98	1.94	0.15	5.28	1.3	94.286
0.12	0.93	2.83	0.45	3.95	1.37	83.92
0.27	0.87	2.92	0.03	4.6	1.22	83.837
0.47	0.88	3.3	0.53	4.62	1.3	90.543
0.25	0.91	2.31	0.49	4.09	1.24	83.275
0.29	0.93	2.83	0.07	4.89	1.27	83.842
0.51	0.86	3.38	0.25	4.46	1.27	135.676
0.27	0.92	3.3	0.04	3.7	1.46	360.421
0.14	0.85	2.01	0.58	3.42	1.27	83.707
0.57	0.94	3.0	0.11	3.38	1.34	156.318
0.12	0.93	2.37	0.5	5.31	1.3	85.207
0.63	0.92	2.17	0.22	5.76	1.36	348.595
0.47	0.95	2.11	0.19	5.14	1.46	346.44
0.4	0.89	2.2	0.12	3.98	1.22	120.158
0.24	0.88	2.07	0.06	3.39	1.29	144.871
0.33	0.93	2.31	0.45	5.53	1.32	159.412
0.15	0.98	2.96	0.02	5.77	1.39	84.254
0.4	0.9	2.83	0.45	4.61	1.46	304.387
0.18	0.89	3.04	0.18	4.55	1.25	85.408
0.2	0.89	2.77	0.15	3.42	1.21	85.139
0.16	0.98	3.49	0.02	4.23	1.43	263.016
0.53	0.96	3.44	0.02	5.33	1.39	223.199
