0	7
72	5
166	6
219	6
286	1
343	6
469	8
584	4
697	18
766	5
834	10
896	2
950	5
1009	7
1096	6
1206	13
1315	9
1425	13
1535	3
1644	2
1754	8
1973	10
2084	16
2194	3
2266	12
2413	17
2578	18
2667	7
2752	17
2836	9
2921	3
3005	6
3105	3
3153	5
3261	7
3312	7
3402	12
3458	4
3520	6
3600	6
3752	5
3886	4
4010	11
4071	8
4178	6
4273	13
4374	10
4476	3
4621	4
4666	9
4733	3
4834	1
4888	8
4974	2
5024	2
5154	4
5228	6
5300	1
5382	7
5463	1
5530	4
5589	1
5640	4
5742	7
5796	5
5964	10
6085	6
6146	4
6207	4
6332	8
6414	6
6517	8
6620	1
6669	4
6748	2
6801	2
6936	10
7024	14
7110	14
7281	12
7366	8
7452	6
7555	15
7657	8
7753	11
7944	3
8040	24
8130	23
8220	7
8311	2
8401	4
8451	2
8502	6
8625	7
8716	3
8807	1
8869	4
8925	2
8982	10
9051	13
9205	29
9258	10
9447	7
9538	16
9590	7
9692	4
9752	4
9815	10
9937	18
10029	2
10099	6
10147	2
10258	10
10348	1
10417	9
10486	9
10555	1
10624	5
10693	2
10762	2
10831	6
10900	7
11076	4
11146	8
11226	2
11284	3
11366	5
11449	1
11537	3
11635	12
11741	11
11848	10
11954	11
12123	8
12229	8
12332	8
12436	6
12702	7
12764	7
12890	17
13015	4
